Dataset,Classification Type,Metric,Kernel Type,Q,Sigma,C,D,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0008506933848063151,0.48296918767506997,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.0008310317993164062,0.4826890756302521,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.000846258799235026,0.48240896358543406,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0008362293243408203,0.4824089635854341,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0008944670359293619,0.4826330532212885,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0008517742156982422,0.4828571428571429,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0008283297220865886,0.4830252100840336,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.000851297378540039,0.4828011204481792,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0008399327596028646,0.4824089635854341,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.000822289784749349,0.4828571428571429,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0009114424387613933,0.48252100840336126,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0009033362070719401,0.48252100840336143,0.0,0.0,0.005,25
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0008420785268147787,0.4827450980392156,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0008393287658691406,0.48336134453781504,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0008325258890787761,0.48268907563025204,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.000844271977742513,0.4827450980392156,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0008117039998372396,0.48224089635854345,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0007900238037109375,0.48268907563025204,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0008917490641276042,0.48296918767506997,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.0009403069814046224,0.48246498599439774,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0009134133656819661,0.4824649859943977,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.0009273846944173177,0.4826330532212885,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0009020328521728516,0.4826330532212886,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.000902859369913737,0.48313725490196074,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0009422779083251953,0.4826890756302521,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0009315172831217448,0.4830812324929971,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0010060151418050131,0.4827450980392156,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.001033798853556315,0.4830812324929972,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.0009006818135579427,0.48285714285714293,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0009135882059733073,0.4828011204481793,0.0,0.0,0.005,30
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0010592301686604818,0.4828011204481792,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0010765870412190756,0.4826890756302521,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.001080465316772461,0.48252100840336126,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.001038519541422526,0.48274509803921567,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0009695847829182942,0.4825770308123249,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0009952386220296223,0.4828011204481793,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0011138916015625,0.48336134453781504,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.001088094711303711,0.48224089635854334,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0011356353759765625,0.4826330532212886,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.001240380605061849,0.482296918767507,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.0011193434397379558,0.4826890756302521,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.0010878086090087891,0.482577030812325,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0011043707529703776,0.48319327731092443,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0011137962341308595,0.4824649859943977,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0010738372802734375,0.4829691876750701,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.001064173380533854,0.48257703081232495,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.001050424575805664,0.48212885154061624,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.0010253111521402994,0.48274509803921567,0.0,0.0,0.005,35
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0010158538818359375,0.48296918767506997,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0010425249735514324,0.4825210084033614,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0010045687357584634,0.48235294117647054,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0009728590647379557,0.4826330532212885,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.0009240786234537761,0.48274509803921567,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0009123007456461589,0.4825210084033614,0.0,0.0,0.005,40
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0010193983713785808,0.4830252100840336,0.0,0.0,0.005,40
