Dataset,Classification Type,Metric,Kernel Type,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Sigma,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4830812324929972,0.0,0.0,4,0.005,55
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4831372549019608,0.0,0.01,8,0.005,55
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48291316526610645,0.0,0.01,10,0.005,55
PTSD,Multi,logeuclid,Gaussian,0.0,0.4830252100840336,0.0,0.01,0.5,0.005,60
PTSD,Multi,logeuclid,Gaussian,0.002,0.48285714285714293,0.0,0.02,1,0.005,60
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48263305322128847,0.0,0.01,2,0.005,60
PTSD,Multi,logeuclid,Gaussian,0.0,0.48291316526610645,0.0,0.01,4,0.005,60
PTSD,Multi,logeuclid,Gaussian,0.0,0.4831932773109243,0.0,0.01,8,0.005,60
PTSD,Multi,logeuclid,Gaussian,0.002,0.48263305322128847,0.0,0.01,10,0.005,60
PTSD,Multi,logeuclid,Gaussian,0.0,0.4829131652661064,0.0,0.09,0.5,0.005,65
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48285714285714293,0.0,0.0,1,0.005,65
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4829131652661064,0.0,0.01,2,0.005,65
PTSD,Multi,logeuclid,Gaussian,0.0,0.4830252100840336,0.0,0.01,4,0.005,65
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48246498599439774,0.0,0.01,8,0.005,65
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4826330532212885,0.0,0.02,10,0.005,65
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48285714285714293,0.0,0.0,0.5,0.005,70
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48240896358543417,0.0,0.0,1,0.005,70
PTSD,Multi,logeuclid,Gaussian,0.0,0.48229691876750697,0.0,0.0,2,0.005,70
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4826890756302521,0.0,0.08,4,0.005,70
PTSD,Multi,logeuclid,Gaussian,0.002,0.4828571428571429,0.0,0.4,8,0.005,70
PTSD,Multi,logeuclid,Gaussian,0.002,0.48257703081232495,0.0,0.01,10,0.005,70
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.48224089635854345,0.0,0.01,0.5,0.005,75
PTSD,Multi,logeuclid,Gaussian,0.005333333333333332,0.48296918767507,0.0,0.01,1,0.005,75
PTSD,Multi,logeuclid,Gaussian,0.0,0.4830812324929972,0.0,0.02,2,0.005,75
PTSD,Multi,logeuclid,Gaussian,0.002,0.48252100840336126,0.0,0.04,4,0.005,75
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.482296918767507,0.0,0.01,8,0.005,75
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48274509803921567,0.0,0.04,10,0.005,75
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4828571428571429,0.0,0.0,0.5,0.005,80
PTSD,Multi,logeuclid,Gaussian,0.0,0.48274509803921567,0.0,0.01,1,0.005,80
PTSD,Multi,logeuclid,Gaussian,0.002,0.4824649859943978,0.0,0.0,2,0.005,80
PTSD,Multi,logeuclid,Gaussian,0.002,0.4828011204481793,0.0,0.01,4,0.005,80
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48313725490196086,0.0,0.05,8,0.005,80
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4823529411764706,0.0,0.02,10,0.005,80
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4827450980392156,0.0,0.01,0.5,0.005,85
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.48313725490196074,0.0,0.04,1,0.005,85
PTSD,Multi,logeuclid,Gaussian,0.002,0.4829131652661065,0.0,0.01,2,0.005,85
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4828011204481793,0.0,0.01,4,0.005,85
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48302521008403354,0.0,0.01,8,0.005,85
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4827450980392156,0.0,0.01,10,0.005,85
PTSD,Multi,logeuclid,Gaussian,0.002,0.4822969187675071,0.0,0.01,0.5,0.005,90
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4830252100840336,0.0,0.01,1,0.005,90
PTSD,Multi,logeuclid,Gaussian,0.002,0.4828011204481793,0.0,0.02,2,0.005,90
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4830252100840336,0.0,0.01,4,0.005,90
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4826330532212885,0.0,0.04,8,0.005,90
